,Acc_x,Acc_y,Acc_z,Label
794,-13,4,-1,Painting
795,-8,7,3,Painting
796,0,-2,0,Painting
797,-5,2,-1,Painting
798,4,-5,-1,Painting
799,0,-1,2,Painting
800,0,0,-2,Sorry
801,0,2,2,Sorry
802,2,-2,-2,Sorry
803,-3,2,-9,Sorry
804,-5,-10,2,Sorry
805,4,-5,3,Sorry
806,5,8,8,Sorry
807,3,6,-7,Sorry
808,-4,-4,-17,Sorry
809,-6,-12,-5,Sorry
810,1,1,12,Sorry
811,8,8,8,Sorry
812,2,8,-6,Sorry
813,0,-1,-22,Sorry
814,-9,-14,0,Sorry
815,0,-6,11,Sorry
816,4,7,8,Sorry
817,5,11,0,Sorry
818,3,2,-18,Sorry
819,-3,-8,-16,Sorry
820,-10,-12,0,Sorry
821,2,1,10,Sorry
822,-108,-103,89,Sorry
823,7,7,-14,Sorry
824,-3,-3,-14,Sorry
825,-8,-18,-3,Sorry
826,-1,-2,13,Sorry
827,9,11,10,Sorry
828,4,13,-10,Sorry
829,-1,5,-22,Sorry
830,-9,-19,-3,Sorry
831,-2,-6,6,Sorry
832,4,9,14,Sorry
833,5,12,-4,Sorry
834,3,7,-23,Sorry
835,-6,-17,-9,Sorry
836,-9,-9,1,Sorry
837,4,6,13,Sorry
838,7,13,5,Sorry
839,5,7,-19,Sorry
840,-5,-8,-18,Sorry
841,-6,-10,1,Sorry
842,0,0,12,Sorry
843,7,14,6,Sorry
844,6,8,-20,Sorry
845,-6,-6,-15,Sorry
846,-4,-15,2,Sorry
847,3,1,16,Sorry
848,5,17,4,Sorry
849,2,5,-17,Sorry
850,-7,-17,-7,Sorry
851,-5,-10,0,Sorry
852,2,8,13,Sorry
853,5,10,4,Sorry
854,4,7,-18,Sorry
855,-7,-7,-15,Sorry
856,-5,-18,0,Sorry
857,4,1,19,Sorry
858,2,11,8,Sorry
859,11,1,-33,Sorry
860,-10,0,-5,Sorry
861,-1,-11,11,Sorry
862,2,1,8,Sorry
863,4,11,-5,Sorry
864,-2,6,-12,Sorry
865,-6,-18,-2,Sorry
866,-1,-7,16,Sorry
867,3,12,5,Sorry
868,11,5,-25,Sorry
869,-11,-10,-4,Sorry
870,-3,-10,7,Sorry
871,4,10,9,Sorry
872,6,13,-3,Sorry
873,-1,-1,-11,Sorry
874,-4,-18,-10,Sorry
875,-4,-8,3,Sorry
876,5,8,12,Sorry
877,4,16,1,Sorry
878,3,0,-16,Sorry
879,-4,-19,-13,Sorry
880,-7,-8,4,Sorry
881,4,13,15,Sorry
882,5,13,2,Sorry
883,4,0,-20,Sorry
884,-7,-18,-11,Sorry
885,-6,-8,7,Sorry
886,5,11,14,Sorry
887,5,12,5,Sorry
888,3,2,-18,Sorry
889,-6,-12,-14,Sorry
890,-5,-9,5,Sorry
891,4,2,4,Sorry
892,2,13,2,Sorry
893,0,12,1,Sorry
894,4,-6,-13,Sorry
895,-6,-20,-12,Sorry
896,-6,-2,13,Sorry
897,6,14,13,Sorry
898,4,11,0,Sorry
899,0,-6,-14,Sorry
900,-4,-17,-13,Sorry
901,-6,-9,10,Sorry
902,2,12,15,Sorry
903,3,9,3,Sorry
904,6,6,-19,Sorry
905,-4,-13,-16,Sorry
906,-8,-13,0,Sorry
907,0,6,12,Sorry
908,7,14,7,Sorry
909,6,12,-15,Sorry
910,-3,-8,-14,Sorry
911,-7,-22,-6,Sorry
912,-1,-5,4,Sorry
913,4,16,16,Sorry
914,8,15,-3,Sorry
915,1,0,-9,Sorry
916,-7,-20,-6,Sorry
917,-7,-15,-7,Sorry
918,-2,9,8,Sorry
919,10,17,12,Sorry
920,3,7,-1,Sorry
921,-1,-2,-15,Sorry
922,-5,-16,-15,Sorry
923,-5,-10,-3,Sorry
924,0,8,14,Sorry
925,5,13,13,Sorry
926,3,4,-7,Sorry
927,1,-5,-21,Sorry
928,-6,-18,-10,Sorry
929,-2,-5,9,Sorry
930,4,14,12,Sorry
931,3,13,4,Sorry
932,10,0,-25,Sorry
933,-9,-15,-14,Sorry
934,-13,-8,8,Sorry
935,3,9,19,Sorry
936,7,13,3,Sorry
937,8,1,-22,Sorry
938,-10,-10,-13,Sorry
939,-7,-14,6,Sorry
940,3,8,15,Sorry
941,7,17,2,Sorry
942,5,1,-11,Sorry
943,0,-12,-21,Sorry
944,-13,-12,2,Sorry
945,0,3,4,Sorry
946,7,18,10,Sorry
947,7,8,-9,Sorry
948,0,-11,-16,Sorry
949,-5,-16,-12,Sorry
950,-6,-1,11,Sorry
951,5,11,14,Sorry
952,4,11,1,Sorry
953,4,-1,-18,Sorry
954,-7,-14,-10,Sorry
955,-8,-9,-4,Sorry
956,-2,13,11,Sorry
957,9,12,18,Sorry
958,5,0,-11,Sorry
959,-1,-17,-12,Sorry
960,-8,-13,-7,Sorry
961,-6,7,13,Sorry
962,299,120,-237,Sorry
963,4,5,-2,Sorry
964,0,-7,-14,Sorry
965,-3,-17,-11,Sorry
966,-6,-9,6,Sorry
967,2,8,17,Sorry
968,6,17,2,Sorry
969,4,3,-12,Sorry
970,-1,-18,-19,Sorry
971,-9,-16,-5,Sorry
972,-1,5,15,Sorry
973,7,21,12,Sorry
974,6,11,-7,Sorry
975,-2,-13,-14,Sorry
976,-7,-17,-16,Sorry
977,-7,-4,9,Sorry
978,5,10,22,Sorry
979,5,14,5,Sorry
980,7,9,-29,Sorry
981,-4,-16,-19,Sorry
982,-10,-16,0,Sorry
983,-2,6,20,Sorry
984,8,17,15,Sorry
985,4,10,-11,Sorry
986,0,-12,-17,Sorry
987,-8,-22,-4,Sorry
988,-7,0,11,Sorry
989,6,12,15,Sorry
990,3,15,0,Sorry
991,2,0,-16,Sorry
992,-2,-26,-18,Sorry
993,-13,-8,9,Sorry
994,3,13,18,Sorry
995,4,13,7,Sorry
996,6,10,-11,Sorry
997,-3,-14,-22,Sorry
998,-12,-17,-1,Sorry
999,-2,0,7,Sorry
1000,7,25,18,Sorry
1001,1,5,0,Sorry
1002,5,-8,-30,Sorry
