,Flex_1,Flex_2,Flex_3,Flex_4,Flex_5,Yaw,Pitch,Roll,Gesture
2506,-24.0,-52.0,-76.0,-80.0,-46.0,38.0,52.44216899999999,29.786015000000003,Five
2507,-24.0,-50.0,-80.0,-84.0,-46.0,38.0,51.926418,30.410324,Five
2508,-24.0,-56.0,-80.0,-88.0,-46.0,38.0,51.837596999999995,30.492361,Five
2509,-24.0,-54.0,-80.0,-80.0,-46.0,38.0,51.723724,30.60215,Five
2510,-20.0,-50.0,-76.0,-80.0,-44.0,38.0,51.655319,30.641346000000002,Five
2511,-24.0,-50.0,-74.0,-68.0,-38.0,38.0,51.417255,30.418232,Five
2512,-20.0,-48.0,-72.0,-68.0,-38.0,38.0,51.426945,30.342119,Five
2513,-12.0,0.0,-100.0,-112.0,-62.0,7.0,85.280907,-3.873937,Excellent
2514,-8.0,8.0,-96.0,-110.0,-54.0,7.0,85.203369,-3.942483,Excellent
2515,-16.0,0.0,-100.0,-112.0,-56.0,7.0,84.952927,-4.246283999999999,Excellent
2516,-8.0,0.0,-104.0,-112.0,-54.0,7.0,84.538857,-4.620204,Excellent
2517,-8.0,0.0,-96.0,-112.0,-62.0,7.0,84.16494,-4.990682,Excellent
2518,-8.0,0.0,-104.0,-112.0,-62.0,7.0,84.40469399999999,-4.793764,Excellent
2519,-8.0,0.0,-98.0,-112.0,-54.0,7.0,84.75147199999999,-4.454999,Excellent
2520,-8.0,0.0,-96.0,-108.0,-54.0,7.0,85.346924,-4.046666,Excellent
2521,-8.0,0.0,-92.0,-112.0,-62.0,7.0,85.825058,-3.6158930000000002,Excellent
2522,-8.0,0.0,-96.0,-108.0,-54.0,7.0,86.067802,-3.428932,Excellent
2523,-16.0,-64.0,-72.0,-88.0,-50.0,10.0,72.21674300000001,4.432871,Stop
2524,-16.0,-64.0,-72.0,-88.0,-50.0,10.0,71.49695600000001,4.785847,Stop
2525,-16.0,-64.0,-72.0,-88.0,-46.0,10.0,73.284813,4.579797,Stop
2526,-16.0,-64.0,-72.0,-88.0,-46.0,10.0,74.532211,4.803293,Stop
2527,-16.0,-64.0,-72.0,-88.0,-46.0,10.0,74.079689,4.687130000000001,Stop
2528,-14.0,-64.0,-72.0,-88.0,-46.0,10.0,73.58371,4.839818,Stop
2529,-10.0,-64.0,-74.0,-88.0,-46.0,10.0,73.370148,4.966549,Stop
2530,-12.0,-64.0,-72.0,-88.0,-46.0,10.0,73.086304,4.812596,Stop
2531,-12.0,-64.0,-68.0,-88.0,-48.0,10.0,72.756828,4.839859,Stop
2532,-12.0,-64.0,-72.0,-88.0,-46.0,9.0,74.07708000000001,4.546796,Stop
2533,-16.0,20.0,32.0,40.0,26.0,29.0,15.044767000000002,74.953835,Thumbs Up
2534,-16.0,20.0,32.0,40.0,26.0,29.0,15.163810999999999,74.83560899999999,Thumbs Up
2535,-16.0,20.0,24.0,40.0,26.0,29.0,15.373553,74.625732,Thumbs Up
2536,-16.0,20.0,24.0,38.0,22.0,29.0,16.061844,73.936943,Thumbs Up
2537,-12.0,18.0,24.0,40.0,22.0,29.0,16.490891,73.509109,Thumbs Up
2538,-8.0,22.0,32.0,40.0,26.0,29.0,16.664972,73.332924,Thumbs Up
2539,-8.0,20.0,24.0,40.0,26.0,29.0,16.470036,73.525749,Thumbs Up
2540,-8.0,20.0,32.0,40.0,26.0,29.0,16.219313,73.779381,Thumbs Up
2541,-8.0,20.0,24.0,40.0,24.0,29.0,16.291349,73.706161,Thumbs Up
2542,-8.0,24.0,32.0,40.0,24.0,29.0,16.394207,73.605087,Thumbs Up
2543,-18.0,20.0,32.0,40.0,22.0,6.0,-24.120928,-65.592224,Thumbs Down
2544,-16.0,20.0,30.0,40.0,24.0,10.0,-24.097746,-65.50843,Thumbs Down
2545,-16.0,20.0,32.0,40.0,22.0,13.0,-24.860413,-64.373886,Thumbs Down
2546,-16.0,20.0,32.0,40.0,24.0,15.0,-25.471817,-63.752846,Thumbs Down
2547,-16.0,22.0,32.0,40.0,24.0,19.0,-28.144678000000003,-61.582752,Thumbs Down
2548,-16.0,20.0,32.0,40.0,26.0,18.0,-28.006321000000003,-61.674243999999995,Thumbs Down
2549,-16.0,20.0,32.0,40.0,22.0,16.0,-27.513432,-61.952751,Thumbs Down
2550,-16.0,20.0,32.0,40.0,26.0,17.0,-27.025167,-62.543766000000005,Thumbs Down
2551,-16.0,20.0,32.0,40.0,26.0,16.0,-27.459970000000002,-62.120926000000004,Thumbs Down
2552,-16.0,20.0,32.0,40.0,22.0,17.0,-27.821493,-61.885532,Thumbs Down
2553,28.0,-16.0,-32.0,-28.0,-16.0,53.0,6.326635,4.661726,Come Here
2554,26.0,-16.0,-32.0,-28.0,-12.0,53.0,6.393001,4.646922,Come Here
2555,28.0,-16.0,-32.0,-24.0,-16.0,53.0,6.243531,4.780049,Come Here
2556,28.0,-16.0,-28.0,-24.0,-16.0,53.0,6.287655,4.776858,Come Here
2557,28.0,-16.0,-26.0,-28.0,-16.0,53.0,6.316086,4.673955,Come Here
2558,28.0,-16.0,-24.0,-26.0,-16.0,53.0,6.16177,4.741719,Come Here
2559,24.0,-16.0,-32.0,-28.0,-12.0,53.0,6.117242,4.754325,Come Here
2560,24.0,-16.0,-32.0,-28.0,-24.0,53.0,6.158961,4.821115,Come Here
2561,24.0,-16.0,-32.0,-28.0,-16.0,53.0,6.172532,4.876666999999999,Come Here
2562,24.0,-16.0,-32.0,-28.0,-16.0,54.0,6.144232,4.951,Come Here
2563,12.0,-16.0,-32.0,-32.0,-24.0,0.0,-49.542609999999996,-1.428596,Go Away
2564,10.0,-16.0,-32.0,-32.0,-24.0,0.0,-49.308289,-1.362354,Go Away
2565,12.0,-16.0,-32.0,-32.0,-24.0,0.0,-49.274376000000004,-1.374242,Go Away
2566,10.0,-16.0,-32.0,-32.0,-24.0,0.0,-48.810112,-0.861877,Go Away
2567,8.0,-16.0,-32.0,-32.0,-24.0,0.0,-48.582275,-0.830802,Go Away
2568,12.0,-16.0,-32.0,-32.0,-24.0,0.0,-48.088260999999996,-0.343541,Go Away
2569,10.0,-18.0,-32.0,-32.0,-24.0,0.0,-48.388882,-0.617103,Go Away
2570,12.0,-16.0,-32.0,-32.0,-24.0,0.0,-48.58955,-1.0431700000000002,Go Away
2571,8.0,-16.0,-32.0,-32.0,-24.0,0.0,-48.790290999999996,-0.690225,Go Away
2572,12.0,-16.0,-32.0,-32.0,-24.0,0.0,-48.655003,-0.730957,Go Away
2573,56.0,38.0,32.0,42.0,24.0,1.0,2.722385,-4.439323,Fist
2574,58.0,38.0,32.0,40.0,32.0,1.0,2.713091,-4.516743,Fist
2575,58.0,40.0,32.0,42.0,32.0,1.0,2.295658,-4.422724,Fist
2576,56.0,32.0,32.0,42.0,24.0,1.0,2.005624,-4.675428,Fist
2577,58.0,36.0,36.0,42.0,32.0,0.0,1.524645,-4.3150949999999995,Fist
2578,52.0,40.0,32.0,40.0,24.0,0.0,0.6927989999999999,-4.2700260000000005,Fist
2579,56.0,40.0,38.0,42.0,32.0,0.0,0.547972,-4.237504,Fist
2580,56.0,40.0,32.0,42.0,24.0,1.0,0.265685,-4.202077,Fist
2581,56.0,32.0,32.0,42.0,28.0,1.0,0.205558,-4.188616000000001,Fist
2582,52.0,32.0,32.0,42.0,24.0,1.0,0.113176,-4.202251,Fist
2583,12.0,-56.0,-52.0,24.0,24.0,0.0,-0.14521199999999998,-6.323134,Finger Crossed
2584,20.0,-52.0,-52.0,32.0,24.0,0.0,-0.163964,-6.425253,Finger Crossed
2585,12.0,-56.0,-50.0,24.0,24.0,0.0,-0.32262399999999997,-6.404828,Finger Crossed
2586,12.0,-56.0,-50.0,32.0,24.0,0.0,-0.333917,-6.234132,Finger Crossed
2587,18.0,-58.0,-50.0,32.0,24.0,0.0,-0.672721,-6.129580000000001,Finger Crossed
2588,12.0,-56.0,-48.0,32.0,24.0,0.0,-0.93655,-6.1299589999999995,Finger Crossed
2589,12.0,-52.0,-50.0,30.0,24.0,0.0,-0.891921,-6.16565,Finger Crossed
2590,12.0,-54.0,-50.0,30.0,24.0,1.0,-0.938634,-6.2244209999999995,Finger Crossed
2591,20.0,-56.0,-48.0,32.0,24.0,0.0,-1.166815,-6.299487,Finger Crossed
2592,12.0,-56.0,-48.0,32.0,24.0,0.0,-1.0759969999999999,-6.171711,Finger Crossed
2593,-2.0,8.0,20.0,40.0,24.0,33.0,2.21317,87.01783,Cash
2594,-2.0,6.0,16.0,40.0,32.0,33.0,2.281312,86.954628,Cash
2595,-2.0,8.0,20.0,40.0,30.0,32.0,2.2679259999999997,86.983063,Cash
2596,0.0,8.0,16.0,40.0,30.0,33.0,2.281739,86.941536,Cash
2597,-2.0,6.0,16.0,40.0,24.0,33.0,2.27015,86.90677600000001,Cash
2598,0.0,8.0,16.0,36.0,24.0,33.0,2.251091,86.949783,Cash
2599,-2.0,8.0,16.0,36.0,24.0,33.0,2.2136880000000003,86.888962,Cash
2600,-2.0,4.0,16.0,38.0,24.0,33.0,2.315691,86.697929,Cash
2601,0.0,8.0,24.0,40.0,32.0,34.0,2.3152,86.60635400000001,Cash
2602,0.0,8.0,16.0,32.0,30.0,34.0,2.3456040000000002,86.610374,Cash
2603,60.0,-72.0,32.0,48.0,32.0,54.0,42.755478000000004,7.811545,One
2604,64.0,-68.0,32.0,46.0,36.0,54.0,42.66198,8.374014,One
2605,64.0,-64.0,32.0,44.0,38.0,54.0,42.344631,8.41032,One
2606,64.0,-64.0,32.0,48.0,36.0,54.0,41.956261,8.330976,One
2607,62.0,-66.0,32.0,46.0,32.0,54.0,41.898556,8.452430999999999,One
